,Category,Org Name,Contact,Address,Location
0,"Africans, African Americans",Confederation of Somali Community in Minnesota,(612) 338-5282  Fax: (612) 338-8421,420 15th Ave S,"Minneapolis, MN 55454"
1,"Africans, African Americans",Minneapolis National Association for the Advancement of Colored People - St. Cloud Branch,(320) 654-6222,PO Box 7042,"St. Cloud, MN 56302"
2,"Africans, African Americans",Minnesota African Women's Association,"(612) 558-7666  Fax: (612) 558-7972 ",2207 N 2nd Street,"Minneapolis, MN 55411"
3,"Africans, African Americans",Minnesota Council on Black American Minnesotans,(651) 642-0811,"2233 University Ave, Wright Building, Suite 426","St. Paul, MN 55114"
5,"Africans, African Americans",Somali Women's Association,(952) 996-0267,7901 Flying Cloud Dr,"Eden Prairie, MN 55344"
6,American Indians,Ain Dah Yung Center,(651) 227-4184  Fax: (651) 224-5136,1089 Portland Ave,"St. Paul, MN 55104"
7,American Indians,American Indian Community Development Corporation,(612) 813-1610,1404 East Franklin Avenue,"Minneapolis, MN 55404"
9,American Indians,Aniishinabe Center,(218) 846-9463,921 Eighth Street SE,"Detroit Lakes, MN 56501"
10,American Indians,Minneapolis American Indian Center,(612) 879-1700  Fax: (612) 879-1795,1530 E Franklin Ave,"Minneapolis, MN 55404"
13,American Indians,Native American Community Development Institute (NACDI),"(612) 872-4700  Fax: (612) 872-4474 ",1404 East Franklin Avenue,"Minneapolis, MN 55404"
14,"Asians, Asian Pacific Americans",Asian American Press,(651) 224-6570  Fax: (651) 224-7032,417 University Ave,"St. Paul, MN 55103"
15,"Asians, Asian Pacific Americans",Asian Media Access,(612) 376-7715  Fax: (612) 376-7730,3028 Oregon Ave S,"Minneapolis, MN 55426"
16,"Asians, Asian Pacific Americans",Asian Pacific Cultural Center,(612) 282-1915  Fax: (651) 646-3386,PO Box 4097,"St. Paul, MN 55104"
17,"Asians, Asian Pacific Americans",Asian Women United of Minnesota,(612) 724-8823,PO Box 6223,"Minnapolis, MN 55406"
18,"Asians, Asian Pacific Americans",Association for the Advancement of Hmong Women in Minnesota,(651) 255-0799,1101 Snelling Ave N,"St. Paul, MN 55108"
19,"Asians, Asian Pacific Americans",Centre for Asians and Pacific Islanders,(612) 721-0122  Fax: (612) 721-7054,"3702 E Lake St, Suite 200","Minneapolis, MN 55406"
20,"Asians, Asian Pacific Americans",Center for Hmong Arts & Talent,(651) 644-6969  Fax: (651) 603-6983,"995 University Ave W, Suite 220","St. Paul, MN 55104"
21,"Asians, Asian Pacific Americans",Council on Asian-Pacific Minnesotans,(651) 296-0538  Fax: (651) 297-8735,"Centennial Office Bldg, 658 Cedar St, Suite 160","St. Paul, MN 55155"
22,"Asians, Asian Pacific Americans","Hmong American Mutual Assistance Association, Inc.",(612) 374-2694  Fax: (612) 374-5205,1718 Washington Ave N,"Minneapolis, MN 55411"
23,"Asians, Asian Pacific Americans",Hmong American Partnership,(651) 495-9160  Fax: (651) 495-1699,1075 Arcade St,"St. Paul, MN 55106"
24,"Asians, Asian Pacific Americans",Hmong Cultural Center,(651) 917-9937  Fax: (651) 917-9978,"995 University Avenue West, Suite 214 Sunrise Market Building","Saint Paul, MN 55104-4796"
25,"Asians, Asian Pacific Americans",Korean Service Center,(612) 324-1344 ext. 5  Fax: (612) 342-1341,"630 Cedar Ave S, Suite B-1","Minneapolis, MN 55454"
26,"Asians, Asian Pacific Americans",Lao Assistance Center of Minnesota,(612) 374-4967  Fax: (612) 312-1150,"503 Irving Ave N, Suite 100A","Minneapolis, MN 55405"
27,"Asians, Asian Pacific Americans",Lao Family Community of Minnesota,(651) 221-0069  Fax: (651) 221-0276,320 University Ave W,"St. Paul, MN 55103"
28,"Asians, Asian Pacific Americans",Minnesota Chinese Service Center,(612) 245-4360,962 University Ave,"St. Paul, MN 55104"
29,"Asians, Asian Pacific Americans",Southeast Asian Community Council,(612) 521-4859  Fax: (612) 521-4864,1827 44th Ave N,"Minneapolis, MN 55412"
30,"Asians, Asian Pacific Americans",Tibetan American Foundation of Minnesota,(651) 917-9565  Fax: (651) 971-9556,1096 Raymond Ave,"St. Paul, MN 55108"
31,"Asians, Asian Pacific Americans",Vietnamese Minnesotans Association,(651) 290-4791  Fax: (651) 290-4785,"1030 University Ave, Suite 140","St. Paul, MN 55104"
32,"Asians, Asian Pacific Americans",Vietnamese Community of Minnesota,(612) 735 - 8576,P.O. Box 40207,"St. Paul, MN 55104"
33,"Asians, Asian Pacific Americans",Vietnamese Social Services of Minnesota,(651) 641-8907  Fax: (651) 641-8908,"1159 University Ave W, Suite 100","St. Paul, MN 55104"
34,"Latino, Latinas",Casa de Esperanza,(651) 646-5553  Fax: (651) 646-5299,PO Box 75177,"St. Paul, MN 55175"
35,"Latino, Latinas",Casa Guadalupe,(320) 685-3949,22 5th Ave N,"Cold Spring, MN 56320"
36,"Latino, Latinas",Centro,(612) 874-1412  Fax: (612) 874-8149,1915 Chicago Ave,"Minneapolis, MN 55404"
37,"Latino, Latinas",Centro Legal,(651) 642-7890  Fax: (651) 642-1875,"2610 University Ave, Suite 450","St. Paul, MN 55114"
38,"Latino, Latinas",Comunidades Latinas Unidas En Servicio (CLUES),(612) 746-3500  Fax: (612) 871-1058,720 E Lake St,"Minneapolis, MN 55407"
39,"Latino, Latinas",La Familia Guidance Center,(651) 221-0913  Fax: (651) 221-0785,"Southbridge Office Center, Suite 120, 155 S Wabasha St","St. Paul, MN 55107"
40,"Latino, Latinas","League of United Latin American Citizens (LULAC), Minnesota",(320) 732-7903,PO Box 578,"Little Falls, MN 56345"
41,"Latino, Latinas",MAFO (a National Partnership of Rural and Farmworker Organizations),(320) 251-1711  Fax: (320) 203-8913,PO Box 7569,"St. Cloud, MN 56302"
45,General,The Advocates for Human Rights,(612) 341-3302  Fax: (612) 341-2971,"650 3rd Ave S, Suite 550","Minneapolis, MN 55402"
46,General,Big Brothers Big Sisters of Central Minnesota,(320) 253-1616  Fax: (320) 253-1702,15 6th Ave N,"St. Cloud, MN 56303"
47,General,Boys and Girls Club of Central Minnesota,(320) 252-7616  Fax: (320) 252-4471,345 30th Ave N,"St. Cloud, MN 56303"
48,General,The Center for Cross-Cultural Health,(651) 209-8999  Fax: (651) 209-8998,265 Oneida St,"St. Paul, MN 55102"
51,General,Hands Across the World,"(320) 230-0818 ","101 7th Ave S, Suite 201","St. Cloud, MN 56301"
